# An atlas of Standard Star Fields for UBVRI Photometric Calibration
# Paul S. Smith
# Steward Observatory, University of Arizona, Tucson, AZ 85721 USA
# January 1997; revised March 2001
# Abstract: Photometric standard stars chosen from Landolt (1992) are presented 
# in an atlas of 156 charts produced from Digital Sky Survey. Stars 
# are distributed throughout all hours of Right Ascension and most of 
# these UBVRI standards are equatorial. Charts are presented with a 
# 6.8' x 6.8' field of view.
# http://james.as.arizona.edu/~psmith/61inch/ATLAS/atlasinfo.html
#
# To get from CHART to the URL: 
# http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/cCHART.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c3.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c21.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c153.html#
#
# All tables combined and put in CSV format via an Excel file, which Julia has.
# 
Star,RA (J2000),Dec (J2000),V,B-V,U-B,V-R,R-I,Color,Chart
103 302,11:56:06,-00:47:54,9.861,0.368,-0.056,0.228,0.237,,85
103 626,11:56:46,-00:21:54,11.836,0.413,-0.057,0.262,0.274,,86
G12 43,12:33:20,+09:01:08,12.467,1.846,1.085,1.53,1.944,RED,87
104 428,12:41:41,-00:26:27,12.63,0.985,0.748,0.534,0.497,,88
104 430,12:41:50,-00:25:52,13.858,0.652,0.131,0.364,0.363,,88
104 440,12:42:14,-00:24:48,15.114,0.44,-0.227,0.289,0.317,,89
104 330,12:42:12,-00:40:40,15.296,0.594,-0.028,0.369,0.371,,90
104 334,12:42:21,-00:40:28,13.484,0.518,-0.067,0.323,0.331,,90
104 336,12:42:25,-00:39:58,14.404,0.83,0.495,0.461,0.403,,90
104 338,12:42:31,-00:38:32,16.059,0.591,-0.082,0.348,0.372,,90
104 455,12:42:52,-00:24:19,15.105,0.581,-0.024,0.36,0.357,,91
104 460,12:43:03,-00:28:21,12.886,1.287,1.243,0.813,0.693,,"91,92"
104 461,12:43:07,-00:32:21,9.705,0.476,-0.03,0.289,0.29,,92
104 350,12:43:15,-00:33:21,13.634,0.673,0.165,0.383,0.353,,92
104 490,12:44:33,-00:25:53,12.572,0.535,0.048,0.318,0.312,,93
104 598,12:45:17,-00:16:37,11.479,1.106,1.05,0.67,0.546,,94
PG1323-085,13:25:39,-08:49:16,13.481,-0.14,-0.681,-0.048,-0.078,BLUE,95
PG1323-085C,13:25:50,-08:48:37,14.003,0.707,0.245,0.395,0.363,,95
PG1323-085B,13:25:50,-08:51:53,13.406,0.761,0.265,0.426,0.407,,95
PG1323-085D,13:26:05,-08:50:34,12.08,0.587,0.005,0.346,0.335,,95
105 815,13:40:04,-00:02:10,11.453,0.385,-0.237,0.267,0.291,,96
+2 2711,13:42:21,+01:30:17,10.367,-0.166,-0.697,-0.072,-0.095,BLUE,97
121968,13:58:52,-02:55:12,10.254,-0.186,-0.908,-0.073,-0.098,BLUE,98
106 700,14:40:52,-00:23:36,9.785,1.362,1.582,0.728,0.641,,99
107 568,15:37:53,-00:17:18,13.054,1.149,0.862,0.625,0.595,,100
107 1006,15:38:34,+00:14:22,11.712,0.766,0.279,0.442,0.421,,101
107 456,15:38:43,-00:19:47,12.919,0.921,0.589,0.537,0.478,,102
107 592,15:38:51,-00:17:10,11.847,1.318,1.38,0.709,0.647,,102
107 351,15:38:46,-00:32:06,12.342,0.562,-0.005,0.351,0.358,,103
107 599,15:39:09,-00:14:28,14.675,0.698,0.243,0.433,0.438,,104
107 601,15:39:14,-00:13:26,14.646,1.412,1.265,0.923,0.835,RED,104
107 602,15:39:19,-00:15:29,12.116,0.991,0.585,0.545,0.531,,104
107 626,15:40:06,-00:17:28,13.468,1,0.728,0.6,0.527,,105
107 627,15:40:08,-00:17:22,13.349,0.779,0.226,0.465,0.454,,105
107 484,15:40:17,-00:21:13,11.311,1.237,1.291,0.664,0.577,,105
107 639,15:40:45,-00:17:11,14.197,0.64,-0.026,0.399,0.404,,106
G153 41,16:17:55,-15:35:52,13.422,-0.205,-1.133,-0.135,-0.154,BLUE,107
-12 4523,16:30:18,-12:39:08,10.069,1.568,1.192,1.152,1.498,RED,108
PG1633+099,16:35:24,+09:47:50,14.397,-0.192,-0.974,-0.093,-0.116,BLUE,109
PG1633+099A,16:35:26,+09:47:53,15.256,0.873,0.32,0.505,0.511,,109
PG1633+099B,16:35:34,+09:46:22,12.969,1.081,1.007,0.59,0.502,,109
